gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000003,TSPAN6,0.3,0,0.3,0,0,0,0,0.753538616,-0.164252879,0,-0.640500821,0.5,-0.461490867
ENSG00000000005,TNMD,0.125,0.125,0.125,0,0,0,0,-0.075993771,-0.164252879,0,-0.445921308,0.5,-0.461490867
ENSG00000000419,DPM1,0,0,0.666666667,0,0,0,0,0.505059558,-0.164252879,0,-0.251341795,1,-0.461490867
ENSG00000000457,SCYL3,0.126984127,0,0.412698413,0,0,0,0,0.299959543,-0.164252879,0,0.526976258,0.764705882,-0.461490867
ENSG00000000460,C1orf112,0.058823529,0.035294118,0.129411765,0,0.188235294,0,0,0.883978926,-0.164252879,0,0.332396745,0.6875,-0.461490867
ENSG00000000938,FGR,0,0.131578947,0.631578947,0,0,0,0,-0.209905364,-0.164252879,0,0.137817232,1,0.597746432
ENSG00000000971,CFH,0.032258065,0.064516129,0.419354839,0,0,0,0,-1.389315223,-0.164252879,0,0.721555771,0.928571429,0.068127782
ENSG00000001036,FUCA2,0.011764706,0,0.035294118,0.023529412,0,0,0,0.701631158,-0.164252879,0,-0.056762281,0.75,-0.461490867
ENSG00000001084,GCLC,0.081395349,0,0.279069767,0,0,0,0,-0.396579338,-0.164252879,0,0.526976258,0.774193548,-0.461490867
ENSG00000001167,NFYA,0.25,0,0.25,0,0,0,0,0.420871915,-0.164252879,0,-0.640500821,0.5,1.65698373
ENSG00000001460,STPG1,0.45,0,0.25,0,0.1,0,0,0.445104141,-0.164252879,0,-0.640500821,0.357142857,0.068127782
ENSG00000001461,NIPAL3,0.380952381,0,0.285714286,0,0.19047619,0,0,0.208535182,-0.164252879,0,-0.251341795,0.428571429,-0.461490867
ENSG00000001497,LAS1L,0,0,0.833333333,0,0,0,0,0.490264927,-0.164252879,0,0.332396745,1,0.068127782
ENSG00000001561,ENPP4,0,0,1,0,0,0,0,-0.466073581,-0.164252879,0,-0.445921308,1,-0.461490867
ENSG00000001617,SEMA3F,0.113636364,0.068181818,0.386363636,0,0,0,0,0.9787778,-0.164252879,0,0.137817232,0.772727273,-0.461490867
ENSG00000001626,CFTR,0.113636364,0.045454545,0.545454545,0,0,0,0,0.06077147,-0.164252879,0,1.694453337,0.827586207,1.65698373
ENSG00000001629,ANKIB1,0.02,0.06,0.22,0,0,0,0,0.412898814,-0.164252879,0,0.916135284,0.916666667,-0.461490867
