Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
0,TSPAN6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-0.928480862,-0.264425559,0,-0.474263322,0.0,11,ENSG00000000003
1,TNMD,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.291007524,-0.264425559,0,-0.279960976,1.0,1,ENSG00000000005
2,DPM1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.428401669,-0.264425559,0,-0.474263322,1.0,25,ENSG00000000419
3,SCYL3,0.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.070058547,-0.264425559,0,-0.668565668,0.0,0,ENSG00000000457
4,C1orf112,0.0,0.0,0.357142857,0.0,0.0,0.0,0.0,0.687170435,-0.264425559,0,0.108643716,1.0,16,ENSG00000000460
5,FGR,0.333333333,0.0,0.416666667,0.0,0.0,0.0,0.0,0.219602554,-0.264425559,0,-0.474263322,0.555555556,31,ENSG00000000938
6,CFH,0.086206897,0.017241379,0.413793103,0.0,0.017241379,0.0,0.0,-0.434739885,-0.264425559,0,1.857364829,0.827586207,8,ENSG00000000971
7,FUCA2,0.04,0.02,0.02,0.0,0.02,0.0,0.0,0.936355555,-0.264425559,0,-0.279960976,0.333333333,6,ENSG00000001036
8,GCLC,0.057142857,0.0,0.171428571,0.0,0.0,0.0,0.0,0.529391071,-0.264425559,0,-0.474263322,0.75,3,ENSG00000001084
9,NFYA,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.614036564,-0.264425559,0,-0.668565668,0.0,0,ENSG00000001167
10,STPG1,0.0,0.0,0.636363636,0.0,0.0,0.0,0.0,0.427915234,-0.264425559,0,-0.279960976,1.0,0,ENSG00000001460
11,NIPAL3,0.083333333,0.0,0.75,0.0,0.0,0.0,0.0,-0.065826126,-0.264425559,0,-0.08565863,0.9,3,ENSG00000001461
12,ENPP4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,-1.072027539,-0.264425559,0,-0.08565863,0.6,3,ENSG00000001561
13,SEMA3F,0.0,0.0,0.571428571,0.0,0.0,0.0,0.0,-0.060492582,-0.264425559,0,-0.279960976,1.0,5,ENSG00000001617
14,CFTR,0.14,0.04,0.5,0.0,0.0,0.0,0.02,-0.914079756,1.212192959,0,1.663062483,0.78125,230,ENSG00000001626
15,ANKIB1,0.0,0.0,0.642857143,0.0,0.0,0.0,0.0,0.404637817,-0.264425559,0,0.302946062,1.0,5,ENSG00000001629
16,CYP51A1,0.0,0.0,0.25,0.375,0.125,0.0,0.0,-0.008770792,-0.264425559,0,-0.279960976,1.0,28,ENSG00000001630
17,KRIT1,0.0,0.0,0.71875,0.0,0.0,0.0,0.0,0.289516807,-0.264425559,0,-0.279960976,1.0,12,ENSG00000001631
18,RAD52,0.0,0.0,0.179775281,0.0,0.134831461,0.0,0.0,0.240593858,-0.264425559,0,0.302946062,1.0,16,ENSG00000002016
19,BAD,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.47621819,7.118667031,1,-0.279960976,0.5,31,ENSG00000002330
20,LAP3,0.0,0.0,0.125,0.0,0.1875,0.0,0.0,0.5342052,-0.264425559,0,-0.279960976,1.0,6,ENSG00000002549
21,HS3ST1,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,-1.036993485,-0.264425559,0,-0.668565668,0.0,0,ENSG00000002587
22,AOC1,0.244444444,0.0,0.422222222,0.0,0.0,0.0,0.0,-0.061860405,-0.264425559,0,-0.08565863,0.633333333,2,ENSG00000002726
23,WNT16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.064096721,2.688811477,1,-0.474263322,0.0,8,ENSG00000002745
24,HECW1,0.185185185,0.0,0.481481481,0.0,0.0,0.0,0.0,0.108657817,-0.264425559,0,0.497248408,0.722222222,11,ENSG00000002746
25,MAD1L1,0.129032258,0.0,0.548387097,0.0,0.0,0.0,0.032258065,0.696451158,1.212192959,0,-0.08565863,0.80952381,59,ENSG00000002822
26,LASP1,0.0,0.0,0.185185185,0.0,0.0,0.0,0.0,0.898630275,-0.264425559,0,-0.474263322,1.0,44,ENSG00000002834
27,TMEM176A,0.0,0.0,0.291666667,0.0,0.0,0.0,0.0,0.235615935,-0.264425559,0,-0.08565863,1.0,4,ENSG00000002933
28,M6PR,0.277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.517420843,-0.264425559,0,-0.668565668,0.0,0,ENSG00000003056
29,KLHL13,0.388888889,0.0,0.388888889,0.0,0.0,0.0,0.0,0.329744688,-0.264425559,0,-0.279960976,0.5,18,ENSG00000003096
30,CYP26B1,0.0,0.0,0.56,0.0,0.12,0.0,0.0,0.668015272,-0.264425559,0,0.302946062,1.0,10,ENSG00000003137
