Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
0,DPM1,0.16,0.0,0.32,0.0,0.0,0.0,0.0,-0.009235412,-0.239753503,0,0.436462277,0.666666667,12,ENSG00000000419
1,SCYL3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.024107291,-0.239753503,0,-0.242244029,1.0,7,ENSG00000000457
2,FGR,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.049854437,-0.239753503,0,-0.242244029,1.0,17,ENSG00000000938
3,CFH,0.103448276,0.0,0.413793103,0.0,0.0,0.034482759,0.0,-0.736930065,-0.239753503,0,2.472581193,0.8,7,ENSG00000000971
4,FUCA2,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.363815082,-0.239753503,0,-0.920950334,0.0,0,ENSG00000001036
5,NIPAL3,0.0,0.0,0.428571429,0.0,0.0,0.0,0.0,-0.558778812,-0.239753503,0,-0.242244029,1.0,3,ENSG00000001461
6,SEMA3F,0.0,0.0,0.75,0.0,0.0,0.0,0.0,-0.332977854,-0.239753503,0,-0.242244029,1.0,4,ENSG00000001617
7,CFTR,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.35297951,-0.239753503,0,-0.242244029,1.0,160,ENSG00000001626
8,ANKIB1,0.0,0.0,0.222222222,0.0,0.222222222,0.0,0.0,-0.115281657,-0.239753503,0,1.115168582,1.0,1,ENSG00000001629
9,HS3ST1,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.067280145,-0.239753503,0,-0.920950334,0.0,0,ENSG00000002587
10,AOC1,0.555555556,0.0,0.0,0.0,0.111111111,0.0,0.0,-1.539623573,-0.239753503,0,-0.242244029,0.0,3,ENSG00000002726
11,HECW1,0.4,0.0,0.16,0.0,0.0,0.0,0.0,-0.313965515,-0.239753503,0,0.436462277,0.285714286,7,ENSG00000002746
12,MAD1L1,0.304347826,0.0,0.565217391,0.0,0.0,0.0,0.0,0.394254481,2.539960328,0,-0.242244029,0.65,40,ENSG00000002822
13,LASP1,0.15,0.0,0.15,0.0,0.0,0.0,0.0,-0.237826306,-0.239753503,0,-0.242244029,0.5,42,ENSG00000002834
14,M6PR,0.0,0.277777778,0.0,0.0,0.0,0.0,0.0,-0.532807377,-0.239753503,0,-0.242244029,0.0,4,ENSG00000003056
15,DBNDD1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.123253937,-0.239753503,0,-0.242244029,0.0,0,ENSG00000003249
16,ALS2,0.090909091,0.0,0.227272727,0.0,0.0,0.0,0.0,0.054744148,-0.239753503,0,-0.242244029,0.714285714,4,ENSG00000003393
17,CASP10,0.0,0.0,0.454545455,0.0,0.0,0.0,0.0,-0.155025407,2.539960328,0,-0.242244029,1.0,6,ENSG00000003400
18,CFLAR,0.0,0.0,0.237288136,0.0,0.0,0.0,0.0,-0.071258898,2.539960328,0,0.436462277,1.0,20,ENSG00000003402
19,RBM5,0.0,0.022727273,0.0,0.0,0.113636364,0.0,0.0,0.367966304,-0.239753503,0,0.436462277,0.0,34,ENSG00000003756
20,MTMR7,0.2,0.0,0.2,0.0,0.0,0.0,0.0,-0.06851863,-0.239753503,0,-0.242244029,0.5,12,ENSG00000003987
21,SLC7A2,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.173044863,-0.239753503,0,0.436462277,0.444444444,11,ENSG00000003989
22,SARM1,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.089371458,-0.239753503,0,-0.920950334,0.0,0,ENSG00000004139
23,POLDIP2,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.236254637,-0.239753503,0,-0.920950334,0.0,0,ENSG00000004142
24,PLXND1,0.022727273,0.0,0.113636364,0.0,0.0,0.0,0.0,-0.090893817,-0.239753503,0,0.436462277,0.833333333,5,ENSG00000004399
25,AK2,0.0,0.0,0.384615385,0.0,0.153846154,0.0,0.0,0.247698329,-0.239753503,0,-0.242244029,1.0,16,ENSG00000004455
26,CD38,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,-1.543932101,-0.239753503,0,-0.242244029,0.0,0,ENSG00000004468
27,FKBP4,0.0,0.0,0.083333333,0.0,0.0,0.0,0.0,0.445750392,-0.239753503,0,-0.242244029,1.0,31,ENSG00000004478
28,KDM1A,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.298201913,-0.239753503,0,0.436462277,1.0,67,ENSG00000004487
29,RBM6,0.121212121,0.0,0.121212121,0.0,0.0,0.0,0.0,0.491867089,-0.239753503,0,-0.242244029,0.5,12,ENSG00000004534
30,RECQL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.454079481,-0.239753503,0,-0.242244029,1.0,13,ENSG00000004700
31,ARHGAP33,0.163265306,0.0,0.102040816,0.0,0.0,0.0,0.0,0.363463442,-0.239753503,0,0.436462277,0.384615385,21,ENSG00000004777
32,SLC22A16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.097655672,-0.239753503,0,-0.242244029,1.0,3,ENSG00000004809
33,ABCB5,0.0,0.222222222,0.777777778,0.0,0.0,0.0,0.0,0.004018505,-0.239753503,0,1.115168582,1.0,2,ENSG00000004846
34,SLC25A13,0.181818182,0.0,0.181818182,0.0,0.0,0.0,0.0,0.205628758,-0.239753503,0,-0.242244029,0.5,25,ENSG00000004864
35,CDC27,0.0,0.176470588,0.088235294,0.147058824,0.0,0.0,0.0,-0.154434756,2.539960328,0,0.436462277,1.0,35,ENSG00000004897
36,SLC4A1,0.185185185,0.0,0.074074074,0.0,0.0,0.0,0.0,-0.009088384,-0.239753503,0,-0.242244029,0.285714286,8,ENSG00000004939
37,CALCR,0.0,0.233333333,0.533333333,0.0,0.0,0.0,0.0,-0.019679099,-0.239753503,0,1.793874888,1.0,12,ENSG00000004948
38,DVL2,0.0,0.0,0.030534351,0.030534351,0.030534351,0.0,0.0,-0.153967933,-0.239753503,0,0.436462277,1.0,57,ENSG00000004975
39,PRSS22,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,-0.061617593,-0.239753503,0,-0.920950334,0.0,0,ENSG00000005001
40,UPF1,0.090909091,0.0,0.181818182,0.0,0.0,0.0,0.0,0.270062856,-0.239753503,0,0.436462277,0.666666667,52,ENSG00000005007
41,DHX33,0.0,0.0,0.529411765,0.0,0.0,0.0,0.0,0.128105118,-0.239753503,0,1.115168582,1.0,10,ENSG00000005100
42,THSD7A,0.0,0.181818182,0.272727273,0.0,0.0,0.0,0.0,-0.08803072,-0.239753503,0,1.793874888,1.0,1,ENSG00000005108
43,LIG3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.476510496,-0.239753503,0,-0.242244029,1.0,21,ENSG00000005156
44,ACSM3,0.117647059,0.0,0.235294118,0.0,0.0,0.0,0.0,0.419514947,-0.239753503,0,-0.242244029,0.666666667,3,ENSG00000005187
45,CIAPIN1,0.0,0.0,0.466666667,0.0,0.0,0.0,0.0,0.218637577,-0.239753503,0,-0.242244029,1.0,3,ENSG00000005194
46,SPPL2B,0.076923077,0.0,0.153846154,0.0,0.0,0.0,0.0,0.492659593,-0.239753503,0,-0.242244029,0.666666667,27,ENSG00000005206
47,CREBBP,0.193548387,0.0,0.258064516,0.064516129,0.0,0.0,0.0,-0.091468983,2.539960328,1,1.793874888,0.571428571,101,ENSG00000005339
48,MPO,0.05,0.0,0.1,0.0,0.0,0.0,0.0,-0.076044005,2.539960328,0,0.436462277,0.666666667,5,ENSG00000005381
49,PON1,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.020739035,-0.239753503,0,-0.242244029,1.0,2,ENSG00000005421
50,GCFC2,0.0,0.0,0.222222222,0.0,0.0,0.0,0.0,0.330960159,-0.239753503,0,-0.242244029,1.0,14,ENSG00000005436
51,CROT,0.3,0.0,0.3,0.0,0.0,0.0,0.0,-0.498342954,-0.239753503,0,-0.242244029,0.5,7,ENSG00000005469
52,ABCB4,0.3125,0.0,0.5,0.0,0.0,0.0,0.0,-0.005987038,-0.239753503,0,0.436462277,0.615384615,10,ENSG00000005471
53,KMT2E,0.095238095,0.0,0.285714286,0.071428571,0.0,0.0,0.0,-0.332966656,-0.239753503,0,1.793874888,0.75,11,ENSG00000005483
54,RHBDD2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,-0.213429745,-0.239753503,0,-0.242244029,0.5,14,ENSG00000005486
55,IBTK,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.05541769,-0.239753503,0,-0.242244029,1.0,23,ENSG00000005700
56,MYCBP2,0.083333333,0.0,0.354166667,0.0,0.0,0.0,0.0,-0.417236034,-0.239753503,0,3.151287499,0.80952381,0,ENSG00000005810
57,ITGAL,0.06557377,0.0,0.213114754,0.0,0.0,0.0,0.0,0.041040227,-0.239753503,0,2.472581193,0.764705882,5,ENSG00000005844
58,PDK2,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,-0.609319719,-0.239753503,0,-0.242244029,1.0,6,ENSG00000005882
59,ITGA3,0.0,0.0,0.166666667,0.0,0.1,0.0,0.0,-0.822631004,2.539960328,0,0.436462277,1.0,13,ENSG00000005884
60,ZFX,0.333333333,0.0,0.416666667,0.0,0.0,0.0,0.0,-0.245286505,-0.239753503,0,-0.242244029,0.555555556,1,ENSG00000005889
61,ITGA2B,0.025,0.0,0.1,0.0,0.0,0.0,0.0,-0.041408047,2.539960328,0,1.793874888,0.8,14,ENSG00000005961
