Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
0,CFH,0.0545454545454545,0.0363636363636363,0.4181818181818181,0.0,0.0,0.0,0.0,-1.55617956691311,-0.1963259911982309,0,1.6581686485227265,0.8846153846153846,10,ENSG00000000971
1,NFYA,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5452142281594243,-0.1963259911982309,0,-0.0285225007387065,1.0,23,ENSG00000001167
2,STPG1,0.125,0.0,0.2916666666666667,0.125,0.0,0.0,0.0,-0.4109588402019763,-0.1963259911982309,0,0.3931502865766517,0.7000000000000001,0,ENSG00000001460
3,SEMA3F,0.12,0.0,0.32,0.0,0.0,0.0,0.0,0.9039941887131072,-0.1963259911982309,0,-0.0285225007387065,0.7272727272727273,3,ENSG00000001617
4,ANKIB1,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0148220136264369,-0.1963259911982309,0,-0.0285225007387065,0.25,2,ENSG00000001629
5,KRIT1,0.1612903225806451,0.4193548387096774,0.0,0.0,0.0,0.0,0.0,0.2262924316804473,-0.1963259911982309,0,-0.0285225007387065,0.0,5,ENSG00000001631
6,AOC1,0.4444444444444444,0.0,0.1851851851851851,0.0,0.0,0.0,0.0,-1.4273181174172391,-0.1963259911982309,0,-0.4501952880540647,0.2941176470588235,2,ENSG00000002726
7,HECW1,0.2916666666666667,0.0625,0.3958333333333333,0.0,0.0,0.0,0.0,0.0652452292783199,-0.1963259911982309,0,2.501514223153442,0.5757575757575757,7,ENSG00000002746
8,MAD1L1,0.1739130434782608,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.4433777138481063,2.8873424610296445,0,-0.0285225007387065,0.7333333333333334,51,ENSG00000002822
9,LASP1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0564890467181005,-0.1963259911982309,0,-0.8718680753694229,0.0,0,ENSG00000002834
10,KLHL13,0.1333333333333333,0.0,0.4133333333333333,0.0,0.1333333333333333,0.0,0.0,-0.5975338301981797,-0.1963259911982309,0,0.3931502865766517,0.7560975609756098,12,ENSG00000003096
11,CYP26B1,0.3,0.0,0.35,0.0,0.0,0.0,0.0,-0.5651834647972149,-0.1963259911982309,0,-0.0285225007387065,0.5384615384615385,6,ENSG00000003137
12,ICA1,0.217391304347826,0.0,0.2028985507246377,0.1739130434782608,0.0434782608695652,0.0,0.0,1.0987050814149604,-0.1963259911982309,0,0.3931502865766517,0.4827586206896552,1,ENSG00000003147
13,ALS2,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.2005853156341217,-0.1963259911982309,0,0.3931502865766517,0.6666666666666666,3,ENSG00000003393
14,CFLAR,0.08125,0.0,0.05,0.0,0.0,0.0,0.0,-0.379529278190827,2.8873424610296445,0,-0.0285225007387065,0.3809523809523809,13,ENSG00000003402
15,RBM5,0.0,0.0169491525423728,0.0338983050847457,0.0,0.0,0.0,0.0,0.2100717300475132,-0.1963259911982309,0,0.3931502865766517,1.0,37,ENSG00000003756
16,PLXND1,0.087719298245614,0.0,0.1228070175438596,0.0,0.0175438596491228,0.0,0.0,0.2507836477973759,-0.1963259911982309,0,1.2364958612073682,0.5833333333333334,6,ENSG00000004399
17,KDM1A,0.1739130434782608,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.7356183303723274,-0.1963259911982309,0,0.8148230738920099,0.6,96,ENSG00000004487
18,PDK4,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-3.0736359803271767,-0.1963259911982309,0,-0.0285225007387065,1.0,4,ENSG00000004799
19,ABCB5,0.0350877192982456,0.0350877192982456,0.3684210526315789,0.0,0.0,0.0,0.0,-0.1341596010820755,-0.1963259911982309,0,2.0798414358380843,0.9130434782608696,1,ENSG00000004846
20,ARX,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2186641863101495,-0.1963259911982309,0,-0.4501952880540647,1.0,11,ENSG00000004848
21,SLC25A13,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.109996263619593,-0.1963259911982309,0,0.3931502865766517,1.0,28,ENSG00000004864
22,ST7,0.0,0.0,0.6458333333333334,0.0,0.0,0.0,0.0,0.4356096845557775,-0.1963259911982309,0,-0.0285225007387065,1.0,85,ENSG00000004866
